"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC"
"1","2","C1, C2","1u","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","C52923"
"2","1","C3","100n","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","C100072"
"3","2","C4, C5","20p","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","C2941937"
"4","2","D1, D2","LED_Small","Device:LED_Small","LED_SMD:LED_0402_1005Metric","~","C165980"
"5","1","J1","USB_C_Receptacle_USB2.0","Connector:USB_C_Receptacle_USB2.0","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","C2927039"
"6","2","J2, J3","Conn_01x10","Connector_Generic:Conn_01x10","Library:PinHeader_1x10_Small","~",""
"7","1","J4","Conn_01x01","Connector_Generic:Conn_01x02","Library:TestPoint_01x02","~",""
"8","1","R1","1k5","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","C25867"
"9","3","R2, R3, R10","5k1","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","C325524"
"10","2","R4, R5","33R","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","C25105"
"11","2","R6, R7","0","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","C21376"
"12","2","R8, R9","120R","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","C203112"
"13","1","SW1","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_SPST_B3U-1000P","~","C2905188"
"14","1","U1","ME6211A33M3G-N","WCH:ME6211A33M3G-N","Package_TO_SOT_SMD:SOT-23-3","","C168807"
"15","1","U3","CH32V003F4U6","CH32V003F4U6:CH32V003F4U6","Package_DFN_QFN:QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm","","C5299908"
"16","1","Y1","24MHz","Device:Crystal_GND24_Small","Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm","~","C2875241"
